customer_id,segment,rfm_score,r_score,f_score,m_score,recency,frequency,monetary,first_purchase_date,last_purchase_date,cohort_month,total_revenue,total_orders,p_alive,exp_transactions_12m,exp_spend,clv_12m,clv_decile,cal_frequency
12346,Can't Lose Them,255,2,5,5,326,12,6463.038333333334,2009-12-14,2011-01-18,2009-12-01,77556.46,12,0.8493934841993187,3.6451647347021456,8846.137371237526,32245.627983965773,10,7
12608,Hibernating,214,2,1,4,405,1,415.78999999999996,2010-10-31,2010-10-31,2010-10-01,415.78999999999996,1,1,0.7612508660471207,394.83084000558097,300.5653188963606,3,0
12745,At Risk,124,1,2,4,487,2,361.92499999999995,2010-05-14,2010-08-10,2010-05-01,723.8499999999999,2,0.7609108487013208,0.9373406825922416,375.5054363349376,351.9765220112879,4,1
12746,Hibernating,113,1,1,3,541,1,254.54999999999998,2010-06-17,2010-06-17,2010-06-01,254.54999999999998,1,1,0.5330231572017262,394.83084000558097,210.4539809003844,2,0
12747,Champions,554,5,5,4,3,26,356.79000000000025,2009-12-07,2011-12-07,2009-12-01,9276.540000000006,26,0.992338697437586,11.857622335139238,344.7763411180262,4088.2276430686925,10,21
12748,Potential Loyalists,552,5,5,2,1,336,168.4505654761895,2009-12-04,2011-12-09,2009-12-01,56599.38999999967,336,0.998808291336571,76.938812691769,244.98406498830934,18848.783088603697,10,140
12749,Champions,555,5,5,5,4,9,766.3733333333334,2010-07-06,2011-12-06,2010-07-01,6897.3600000000015,9,0.9536233605898966,2.8763330263656943,817.4095230106352,2351.142007101319,9,3
12777,Hibernating,115,1,1,5,458,1,519.4499999999999,2010-09-08,2010-09-08,2010-09-01,519.4499999999999,1,1,0.65232458996783,394.83084000558097,257.55786581329454,2,0
12819,Hibernating,115,1,1,5,459,1,540.5200000000001,2010-09-07,2010-09-07,2010-09-01,540.5200000000001,1,1,0.6505691569241892,394.83084000558097,256.86476671010024,2,0
12820,Loyal Customers,553,5,5,3,4,11,244.50181818181835,2009-12-05,2011-12-06,2009-12-01,2689.520000000002,11,0.8521423502990939,3.6068533919178734,253.85723156161038,915.6258167208754,7,7
12821,At Risk,221,2,2,1,215,2,110.39999999999999,2010-04-07,2011-05-09,2010-04-01,220.79999999999998,2,0.9464962150108112,1.0842355772138477,227.78630327423656,246.97401401195043,2,1
12822,Potential Loyalists,325,3,2,5,71,2,474.43999999999994,2011-09-13,2011-09-30,2011-09-01,948.8799999999999,2,NA,NA,NA,NA,NA,NA
12823,Loyal Customers,354,3,5,4,75,18,361.19444444444446,2010-01-29,2011-09-26,2010-01-01,6501.5,18,0.90666870857753,6.902823113914032,438.70022293185804,3028.270038933268,10,12
12824,Promising,314,3,1,4,60,1,397.11999999999995,2011-10-11,2011-10-11,2011-10-01,397.11999999999995,1,NA,NA,NA,NA,NA,NA
12825,At Risk,123,1,2,3,522,2,259.315,2010-03-08,2010-07-06,2010-03-01,518.63,2,0.7781127681165918,0.843432662974818,315.2431950334426,265.8864074717464,2,1
12826,Loyal Customers,553,5,5,3,3,12,246.3125000000003,2009-12-18,2011-12-07,2009-12-01,2955.7500000000036,12,0.9802863003609268,4.782106534421169,266.7659592404023,1275.7032368446592,8,8
12827,Promising,531,5,3,1,6,3,143.38333333333333,2011-10-26,2011-12-04,2011-10-01,430.15,3,NA,NA,NA,NA,NA,NA
12828,Potential Loyalists,542,5,4,2,3,6,169.78500000000005,2011-08-01,2011-12-07,2011-08-01,1018.7100000000003,6,NA,NA,NA,NA,NA,NA
12829,At Risk,231,2,3,1,337,3,128.43333333333337,2010-06-07,2011-01-07,2010-06-01,385.30000000000007,3,0.8812903517779734,1.8188229460183167,197.698281370468,359.5781705449927,4,2
12830,Champions,445,4,4,5,38,6,1135.7733333333335,2011-06-21,2011-11-02,2011-06-01,6814.640000000001,6,1,2.931441566586718,394.83084000558097,1157.42353616271,8,0
12831,At Risk,231,2,3,1,263,3,150.37,2010-09-02,2011-03-22,2010-09-01,451.11,3,0.9254816898955439,1.4736327131565585,295.41614829006016,435.3349001149416,5,1
12832,New Customers,422,4,2,2,33,2,191.51500000000001,2011-09-02,2011-11-07,2011-09-01,383.03000000000003,2,NA,NA,NA,NA,NA,NA
12833,Promising,314,3,1,4,146,1,417.37999999999994,2011-07-17,2011-07-17,2011-07-01,417.37999999999994,1,NA,NA,NA,NA,NA,NA
12834,Hibernating,213,2,1,3,283,1,312.38,2011-03-02,2011-03-02,2011-03-01,312.38,1,1,1.2388222582539654,394.83084000558097,489.1252328440239,5,0
12835,Can't Lose Them,151,1,5,1,428,41,147.39780487804833,2009-12-03,2010-10-08,2009-12-01,6043.309999999981,41,6.785911637318739e-7,1.3623444487956071e-5,167.76505575046787,0.0022855379240353546,1,36
12836,Loyal Customers,354,3,5,4,60,15,439.0413333333328,2009-12-01,2011-10-11,2009-12-01,6585.619999999992,15,0.9642538723887383,6.1609993855478775,465.02880291743014,2865.0421690363523,10,11
12837,Potential Loyalists,324,3,2,4,174,2,344.205,2010-05-19,2011-06-19,2010-05-01,688.41,2,0.9530867064876553,1.1861602310050081,365.0985859708162,433.0654230747452,5,1
12838,Champions,454,4,5,4,34,10,339.84799999999996,2010-04-26,2011-11-06,2010-04-01,3398.4799999999996,10,0.3363801349896997,2.0523268272636552,349.14016202485175,716.5497209987825,6,8
12839,Champions,554,5,5,4,3,26,387.37423076923045,2009-12-07,2011-12-07,2009-12-01,10071.729999999992,26,0.9842312996605616,9.05385430889659,364.88465672184276,3303.612521511309,10,16
12840,Loyal Customers,345,3,4,5,144,7,577.4242857142858,2010-02-03,2011-07-19,2010-02-01,4041.9700000000007,7,0.9733731358746641,3.3576188466954386,555.1321344443624,1863.922117016657,9,5
12841,Potential Loyalists,552,5,5,2,5,40,188.51699999999965,2010-07-08,2011-12-05,2010-07-01,7540.679999999987,40,0.9811773802818167,22.153766483138902,207.7031977117117,4601.408139906492,10,27
12842,Loyal Customers,335,3,3,5,71,4,479.49750000000006,2009-12-02,2011-09-30,2009-12-01,1917.9900000000002,4,0.9312446247445526,1.3738311860684593,376.3895677316606,517.095726260582,5,2
12843,Potential Loyalists,352,3,5,2,66,30,219.61366666666655,2009-12-13,2011-10-05,2009-12-01,6588.409999999996,30,0.9921776236221433,14.167752833646853,245.88517284289932,3483.640354296733,10,25
12844,Potential Loyalists,432,4,3,2,30,4,162.15000000000003,2010-04-25,2011-11-10,2010-04-01,648.6000000000001,4,0.8410960510131936,0.9975060561762819,257.69131572012026,257.04864805485425,2,1
12845,At Risk,231,2,3,1,268,4,88.52250000000001,2011-02-22,2011-03-17,2011-02-01,354.09000000000003,4,0.6503271822303394,4.149821881669102,146.65547666311542,608.5941061232088,6,3
12846,Lost,111,1,1,1,683,1,15.58,2010-01-26,2010-01-26,2010-01-01,15.58,1,1,0.40610235572078823,394.83084000558097,160.34173423748408,1,0
12847,New Customers,425,4,2,5,23,2,818.4499999999999,2010-11-17,2011-11-17,2010-11-01,1636.8999999999999,2,1,0.8043694309810896,394.83084000558097,317.5898581090748,4,0
12848,Lost,112,1,1,2,676,1,208.00000000000003,2010-02-02,2010-02-02,2010-02-01,208.00000000000003,1,1,0.41092357268897084,394.83084000558097,162.24529938288077,1,0
12849,Champions,445,4,4,5,32,6,515.0933333333334,2010-04-27,2011-11-08,2010-04-01,3090.5600000000004,6,0.9262934097022132,3.062185861400979,525.8214239603102,1610.162930072992,9,4
12850,Hibernating,114,1,1,4,446,1,330,2010-09-20,2010-09-20,2010-09-01,330,1,1,0.6741561358134108,394.83084000558097,266.1776333981255,2,0
12851,Promising,321,3,2,1,97,2,142.06500000000003,2010-08-19,2011-09-04,2010-08-01,284.13000000000005,2,1,0.6189288720125952,394.83084000558097,244.37220644043967,2,0
12852,Hibernating,213,2,1,3,295,1,311.54999999999995,2011-02-18,2011-02-18,2011-02-01,311.54999999999995,1,1,1.1666227464956502,394.83084000558097,460.61863896849553,5,0
12853,Loyal Customers,354,3,5,4,135,11,355.22727272727286,2010-02-05,2011-07-28,2010-02-01,3907.5000000000014,11,0.9518646350752386,3.2944893599421765,462.98758285693856,1525.3076655075308,9,5
12854,Loyal Customers,344,3,4,4,79,7,427.71714285714273,2009-12-11,2011-09-22,2009-12-01,2994.019999999999,7,0.9543952884667624,3.018545733383776,411.0372688000615,1240.734793998146,8,5
12855,At Risk,232,2,3,2,373,4,162.73500000000013,2010-11-02,2010-12-02,2010-11-01,650.9400000000005,4,0.5477434650740988,1.6542101298854326,263.2222841160572,435.42496879636326,5,2
12856,Champions,544,5,4,4,8,6,363.3216666666668,2011-10-07,2011-12-02,2011-10-01,2179.9300000000007,6,NA,NA,NA,NA,NA,NA
12857,Can't Lose Them,245,2,4,5,211,6,614.6666666666666,2010-01-25,2011-05-13,2010-01-01,3687.9999999999995,6,0.9649270550724374,3.2789372541081683,587.5771521092619,1926.6286137138407,9,5
12858,Lost,212,2,1,2,384,1,177.91999999999996,2010-11-21,2010-11-21,2010-11-01,177.91999999999996,1,1,0.8152377852639126,394.83084000558097,321.88101956004004,4,0
12859,Hibernating,115,1,1,5,459,1,575.0999999999999,2010-09-07,2010-09-07,2010-09-01,575.0999999999999,1,1,0.6505691569241892,394.83084000558097,256.86476671010024,2,0
12860,Lost,111,1,1,1,694,1,55.47,2010-01-15,2010-01-15,2010-01-01,55.47,1,1,0.3987509377387532,394.83084000558097,157.43916770040505,1,0
